algorithm,arrType,n,dominantOps
quickSort,sorted,55,109
quickSort,sortedInReverse,55,109
quickSort,randomOrder,55,75
linearSearch,sorted,56,7
linearSearch,sortedInReverse,56,56
linearSearch,randomOrder,56,56
binarySearch,sorted,56,3
bubbleSort,sorted,56,55
bubbleSort,sortedInReverse,56,1540
bubbleSort,randomOrder,56,1474
insertSort,sorted,56,55
insertSort,sortedInReverse,56,1595
insertSort,randomOrder,56,837
quickSort,sorted,56,111
quickSort,sortedInReverse,56,111
quickSort,randomOrder,56,77
linearSearch,sorted,57,20
linearSearch,sortedInReverse,57,57
linearSearch,randomOrder,57,44
binarySearch,sorted,57,6
bubbleSort,sorted,57,56
bubbleSort,sortedInReverse,57,1596
bubbleSort,randomOrder,57,1590
insertSort,sorted,57,56
insertSort,sortedInReverse,57,1652
insertSort,randomOrder,57,834
quickSort,sorted,57,113
quickSort,sortedInReverse,57,113
quickSort,randomOrder,57,71
linearSearch,sorted,58,36
linearSearch,sortedInReverse,58,58
linearSearch,randomOrder,58,58
binarySearch,sorted,58,3
bubbleSort,sorted,58,57
bubbleSort,sortedInReverse,58,1653
bubbleSort,randomOrder,58,1650
insertSort,sorted,58,57
insertSort,sortedInReverse,58,1710
insertSort,randomOrder,58,827
quickSort,sorted,58,115
quickSort,sortedInReverse,58,115
quickSort,randomOrder,58,77
linearSearch,sorted,59,49
linearSearch,sortedInReverse,59,53
linearSearch,randomOrder,59,59
binarySearch,sorted,59,6
bubbleSort,sorted,59,58
bubbleSort,sortedInReverse,59,1711
bubbleSort,randomOrder,59,1701
insertSort,sorted,59,58
insertSort,sortedInReverse,59,1769
insertSort,randomOrder,59,965
quickSort,sorted,59,117
quickSort,sortedInReverse,59,117
quickSort,randomOrder,59,77
linearSearch,sorted,60,18
linearSearch,sortedInReverse,60,60
linearSearch,randomOrder,60,60
binarySearch,sorted,60,4
bubbleSort,sorted,60,59
bubbleSort,sortedInReverse,60,1770
bubbleSort,randomOrder,60,1764
insertSort,sorted,60,59
insertSort,sortedInReverse,60,1829
insertSort,randomOrder,60,923
quickSort,sorted,60,119
quickSort,sortedInReverse,60,119
quickSort,randomOrder,60,79
linearSearch,sorted,61,46
linearSearch,sortedInReverse,61,56
linearSearch,randomOrder,61,23
binarySearch,sorted,61,2
bubbleSort,sorted,61,60
bubbleSort,sortedInReverse,61,1830
bubbleSort,randomOrder,61,1785
insertSort,sorted,61,60
insertSort,sortedInReverse,61,1890
insertSort,randomOrder,61,1021
quickSort,sorted,61,121
quickSort,sortedInReverse,61,121
quickSort,randomOrder,61,85
linearSearch,sorted,62,21
linearSearch,sortedInReverse,62,62
linearSearch,randomOrder,62,62
binarySearch,sorted,62,5
bubbleSort,sorted,62,61
bubbleSort,sortedInReverse,62,1891
bubbleSort,randomOrder,62,1885
insertSort,sorted,62,61
insertSort,sortedInReverse,62,1952
insertSort,randomOrder,62,884
quickSort,sorted,62,123
quickSort,sortedInReverse,62,123
quickSort,randomOrder,62,83
linearSearch,sorted,63,62
linearSearch,sortedInReverse,63,40
linearSearch,randomOrder,63,46
binarySearch,sorted,63,5
bubbleSort,sorted,63,62
bubbleSort,sortedInReverse,63,1953
bubbleSort,randomOrder,63,1908
insertSort,sorted,63,62
insertSort,sortedInReverse,63,2015
insertSort,randomOrder,63,1049
quickSort,sorted,63,125
quickSort,sortedInReverse,63,125
quickSort,randomOrder,63,89
linearSearch,sorted,64,48
linearSearch,sortedInReverse,64,54
linearSearch,randomOrder,64,64
binarySearch,sorted,64,2
bubbleSort,sorted,64,63
bubbleSort,sortedInReverse,64,2016
bubbleSort,randomOrder,64,2001
insertSort,sorted,64,63
insertSort,sortedInReverse,64,2079
insertSort,randomOrder,64,966
quickSort,sorted,64,127
quickSort,sortedInReverse,64,127
quickSort,randomOrder,64,91
linearSearch,sorted,65,28
linearSearch,sortedInReverse,65,65
linearSearch,randomOrder,65,65
binarySearch,sorted,65,4
bubbleSort,sorted,65,64
bubbleSort,sortedInReverse,65,2080
bubbleSort,randomOrder,65,1909
insertSort,sorted,65,64
insertSort,sortedInReverse,65,2144
insertSort,randomOrder,65,1249
quickSort,sorted,65,129
quickSort,sortedInReverse,65,129
quickSort,randomOrder,65,89
linearSearch,sorted,66,26
linearSearch,sortedInReverse,66,66
linearSearch,randomOrder,66,66
binarySearch,sorted,66,5
